"rating_id","user_id","thread_id","counsellor_coherence_rating","client_coherence_rating","quality_rating","overall_rating","feedback","status","timestamp"
1,4,58,1,1,1,,,PROGRESSING,2025-02-11 10:48:47.000
2,4,58,1,1,1,1,,PROGRESSING,2025-02-11 10:48:56.000
3,4,58,1,1,1,1,,DONE,2025-02-11 10:49:09.000
4,4,59,1,1,5,0,,DONE,2025-02-11 12:25:03.000
5,4,60,1,1,1,1,,DONE,2025-02-11 12:26:01.000
6,5,106,0,5,0,0,"Wenn Pepe ein Jugendlicher wäre, dürften wir ihn bis zum 21. Lebensjahr begleiten. Würden ihn aber in der Beratung duzen.

Jugendberatung: Du
Elternberatung: Sie

Erziehungsberatung auf Elternseite, setzt voraus, dass es ein Kind gibt.

Wenn Pepe Vater eines 5 jährigen Sohnes ist und ihm ein gutes Vorbild sein möchte, würde es gehen oder wenn Pepe 19 Jahre alt ist und schon alleine wohnt!!!!

Daher leider raus!",DONE,2025-03-04 07:47:49.000
7,5,118,0,5,0,0,Kein Beratungstext generiert - daher raus!,DONE,2025-03-04 07:48:22.000
8,5,89,2,1,3,0,"Beraterinnen Name hakt in der Generierung: [Berater*in-Name]

Die Antworten der Ratsuchenden: 
= eher untypisch: dankend, reflektiert und etwas zu einsichtig zu schnell ohne Nachfragen oder eigentlich einzusteigen :) a la chat gpt 

Etwas zu Proaktiv vielleicht insgesamt :)
Die Therapeutensuche habe ich noch nie so reibungslos erlebt.
",DONE,2025-03-04 08:09:53.000
9,5,89,2,1,3,0,"Beraterinnen Name hakt in der Generierung: [Berater*in-Name]

Die Antworten der Ratsuchenden: 
= eher untypisch: dankend, reflektiert und etwas zu einsichtig zu schnell ohne Nachfragen oder eigentlich richtig einzusteigen :) a la chat gpt 

Etwas zu Proaktiv zu kompetente Ratsuchende - vielleicht insgesamt :).

Die Therapeutensuche habe ich noch nie so reibungslos erlebt.
",DONE,2025-03-04 09:21:37.000
10,5,89,2,1,3,0,"Beraterinnen Name hakt in der Generierung: [Berater*in-Name]

Die Antworten der Ratsuchenden: 
= eher untypisch: dankend, reflektiert und etwas zu einsichtig zu schnell ohne Nachfragen oder eigentlich richtig einzusteigen :) a la chat gpt 

Etwas zu Proaktiv zu kompetente Ratsuchende - vielleicht insgesamt :).

Die Therapeutensuche habe ich noch nie so reibungslos erlebt.

Zweifel, Unsicherheiten fehlen!
-> zu gradlinig
",DONE,2025-03-04 09:22:41.000
11,6,138,0,5,0,0,,DONE,2025-03-04 09:37:39.000
12,6,137,0,5,0,0,,DONE,2025-03-04 09:37:51.000
13,6,169,0,5,0,0,,DONE,2025-03-04 09:38:02.000
14,6,99,0,5,0,0,,DONE,2025-03-04 09:38:22.000
15,6,135,0,5,0,0,,DONE,2025-03-04 09:38:36.000
16,6,164,0,5,0,0,,DONE,2025-03-04 09:38:50.000
17,6,162,0,5,0,0,,DONE,2025-03-04 09:39:01.000
18,6,77,0,5,0,0,,DONE,2025-03-04 09:39:11.000
19,6,170,0,5,0,0,,DONE,2025-03-04 09:39:25.000
20,6,160,0,5,0,0,,DONE,2025-03-04 10:48:23.000
21,6,176,0,5,0,0,,DONE,2025-03-04 10:48:36.000
22,6,83,0,5,0,0,,DONE,2025-03-04 10:48:46.000
23,6,157,0,5,0,0,,DONE,2025-03-04 10:48:59.000
24,6,66,5,0,0,0,,DONE,2025-03-04 10:56:10.000
25,6,66,5,0,0,0,zwei Fälle hintereinander mit wechselnden Akteuren und Sprüngen in der Zeitangabe,DONE,2025-03-04 10:57:14.000
26,6,66,5,0,0,0,zwei Fälle hintereinander mit wechselnden Akteuren und Sprüngen in der Zeitangabe,DONE,2025-03-04 10:57:14.000
27,6,66,5,0,0,0,zwei Fälle hintereinander mit wechselnden Akteuren und Sprüngen in der Zeitangabe,DONE,2025-03-04 10:57:14.000
28,6,129,0,5,0,0,,DONE,2025-03-04 10:57:30.000
29,6,76,5,0,0,0,,DONE,2025-03-04 11:19:56.000
30,6,82,0,5,0,0,,DONE,2025-03-04 11:20:09.000
31,6,130,0,5,0,0,,DONE,2025-03-04 11:20:19.000
32,6,140,0,5,0,0,,DONE,2025-03-04 11:20:29.000
33,6,88,0,5,0,0,,DONE,2025-03-04 11:20:41.000
34,6,104,0,5,0,0,,DONE,2025-03-04 11:20:49.000
35,6,117,0,5,0,0,,DONE,2025-03-04 11:21:08.000
36,6,108,0,5,0,0,,DONE,2025-03-04 11:21:21.000
37,6,115,0,5,0,0,,DONE,2025-03-04 11:21:29.000
38,6,84,0,5,0,0,,DONE,2025-03-04 11:21:38.000
39,6,81,0,5,0,0,,DONE,2025-03-04 11:21:53.000
40,6,167,0,5,0,0,,DONE,2025-03-04 11:22:02.000
41,6,151,0,5,0,0,,DONE,2025-03-04 11:22:10.000
42,6,122,0,5,0,0,,DONE,2025-03-04 11:22:49.000
43,6,147,0,5,0,0,,DONE,2025-03-04 11:24:26.000
44,6,94,0,5,0,0,,DONE,2025-03-04 11:24:34.000
45,6,72,0,5,0,0,,DONE,2025-03-04 11:24:47.000
46,6,178,0,5,0,0,,DONE,2025-03-04 11:24:58.000
47,6,96,0,5,0,0,,DONE,2025-03-04 11:25:07.000
48,6,70,0,5,0,0,,DONE,2025-03-04 11:25:15.000
49,6,123,0,5,0,0,,DONE,2025-03-04 11:25:34.000
50,6,134,0,5,0,0,,DONE,2025-03-04 11:25:56.000
51,6,75,0,5,0,0,,DONE,2025-03-04 11:26:11.000
52,6,71,0,5,0,0,,DONE,2025-03-04 11:26:30.000
53,6,80,0,5,0,0,,DONE,2025-03-04 11:26:45.000
54,6,133,0,5,0,0,,DONE,2025-03-04 11:26:53.000
55,6,102,0,5,0,0,,DONE,2025-03-04 11:27:02.000
56,6,142,0,5,0,0,,DONE,2025-03-04 11:27:10.000
57,6,180,0,5,0,0,,DONE,2025-03-04 11:27:22.000
58,6,95,0,5,0,0,,DONE,2025-03-04 11:27:32.000
59,6,163,0,5,0,0,,DONE,2025-03-04 11:27:47.000
60,5,136,1,1,1,1,guter Anfang !,DONE,2025-03-04 12:52:02.000
61,5,155,0,5,0,0,,DONE,2025-03-04 12:52:38.000
62,5,105,0,5,0,0,,DONE,2025-03-04 12:52:54.000
63,5,86,0,5,0,0,,DONE,2025-03-04 12:53:05.000
64,5,128,0,5,0,0,,DONE,2025-03-04 12:53:14.000
65,5,85,0,5,0,0,,DONE,2025-03-04 12:53:23.000
66,5,139,0,5,0,0,,DONE,2025-03-04 12:53:53.000
